lat Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
90 246.2110 247.1446 244.5371 249.7366 257.0484 262.4183 271.2161 267.5653 258.7741 254.5000 252.1950 247.4016
87 246.3268 247.1712 244.5152 249.9228 257.0533 262.4350 271.0829 267.3700 258.7793 254.7457 252.0749 247.4906
85 246.5372 247.2096 244.4915 250.4377 257.1326 262.5238 270.6518 266.8625 258.8772 255.2974 251.7747 247.6600
82 246.6316 247.2435 244.5878 251.1640 257.4122 262.7715 269.9324 266.2616 259.2026 255.7932 251.4925 247.7817
80 246.6548 247.3654 244.9544 251.9593 257.9377 263.2640 269.1328 265.8269 259.7458 256.0743 251.4732 247.9477
77 246.8851 247.6958 245.6900 252.7306 258.6463 264.0449 268.5829 265.7763 260.3988 256.2790 251.8349 248.3744
75 247.5065 248.2366 246.7725 253.4750 259.4527 265.0735 268.4917 266.2098 261.1312 256.6165 252.4853 249.1359
72 248.4259 248.9023 248.0752 254.2557 260.2932 266.2101 268.8254 267.0602 261.9921 257.1636 253.2531 250.1102
70 249.4344 249.6800 249.4826 255.1480 261.1276 267.2652 269.4225 268.1205 262.9713 257.8893 254.0574 251.1628
67 250.4400 250.6418 250.9776 256.1880 261.9329 268.1037 270.1472 269.1474 263.9781 258.7657 254.8946 252.2497
65 251.4843 251.7728 252.5742 257.3513 262.7118 268.7026 270.9178 269.9945 264.9719 259.7643 255.7562 253.3534
62 252.6178 252.9042 254.2006 258.5614 263.4893 269.1404 271.6883 270.6702 266.0140 260.8108 256.6488 254.4486
60 253.8470 253.8967 255.7262 259.7453 264.2995 269.5580 272.4628 271.2919 267.1581 261.8359 257.6478 255.5475
57 255.1691 254.8290 257.1154 260.8966 265.1807 270.1142 273.2911 271.9930 268.3696 262.8761 258.8244 256.6677
55 256.5770 255.9217 258.4877 262.0578 266.1722 270.9059 274.2094 272.8587 269.6117 264.0624 260.1463 257.7675
52 258.0439 257.3005 259.9909 263.2467 267.2860 271.9144 275.2149 273.9404 270.9411 265.4948 261.5545 258.8025
50 259.5440 258.9354 261.6656 264.4479 268.5105 273.0695 276.3413 275.2853 272.4567 267.1801 263.1053 259.8569
47 261.0948 260.7718 263.4591 265.6714 269.8361 274.3523 277.6437 276.8934 274.1593 269.0665 264.9025 261.0982
45 262.7246 262.7921 265.2976 266.9892 271.2690 275.7584 279.0624 278.6416 275.9081 271.0836 266.8973 262.5882
42 264.4185 264.9382 267.0966 268.4583 272.8104 277.1982 280.3873 280.3150 277.5502 273.1402 268.9015 264.2610
40 266.1536 267.0661 268.7737 270.0524 274.4475 278.5359 281.4724 281.7526 279.0488 275.1477 270.8199 266.1094
37 267.9639 269.0724 270.3250 271.7178 276.1629 279.7588 282.4040 282.9297 280.4569 277.0414 272.7239 268.2292
35 269.9138 270.9921 271.8689 273.4635 277.8981 280.9738 283.3221 283.8539 281.7499 278.7482 274.6526 270.6121
32 271.9913 272.9138 273.5284 275.3413 279.5119 282.1801 284.1351 284.4545 282.7665 280.1581 276.4727 273.0253
30 274.0903 274.8347 275.3065 277.3197 280.8491 283.1809 284.6078 284.6751 283.3737 281.1853 278.0385 275.2403
27 276.1151 276.6595 277.1015 279.2408 281.8856 283.8217 284.7067 284.6389 283.6476 281.8879 279.3805 277.2545
25 278.0364 278.3184 278.8110 280.9068 282.7352 284.1970 284.6656 284.5744 283.8004 282.4211 280.5980 279.1542
22 279.8146 279.8053 280.3494 282.1911 283.4673 284.4833 284.6522 284.5717 283.9370 282.8565 281.6612 280.8400
20 281.3342 281.1141 281.6249 283.0699 284.0016 284.6851 284.5831 284.5206 283.9749 283.1317 282.4423 282.0810
17 282.4766 282.1981 282.5787 283.5979 284.2492 284.6794 284.3445 284.3208 283.8353 283.2027 282.9065 282.7989
15 283.2183 283.0132 283.2416 283.8643 284.2742 284.4510 284.0074 284.0207 283.5798 283.1531 283.1360 283.1339
12 283.6187 283.5523 283.6736 283.9485 284.2146 284.1229 283.6757 283.7022 283.3065 283.0861 283.1938 283.2323
10 283.7481 283.8284 283.8800 283.9021 284.1109 283.7813 283.3199 283.3542 283.0208 283.0025 283.1009 283.1394
7 283.6800 283.8716 283.8628 283.7702 283.9318 283.4370 282.9122 282.9822 282.7242 282.8854 282.9449 282.9365
5 283.5251 283.7668 283.7240 283.6191 283.7220 283.1530 282.5903 282.7111 282.5217 282.8044 282.8763 282.8021
2 283.3953 283.6372 283.6204 283.5180 283.6031 283.0297 282.4936 282.6504 282.5032 282.8363 282.9502 282.8308
0 283.3311 283.5604 283.6043 283.4942 283.6181 283.0527 282.5439 282.7265 282.5905 282.9270 283.0700 282.9154
